Landroid/util/Log;,e,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/app/Application;,<init>,()V
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/util/Log;,v,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/util/Log;,w,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/content/Context;,getResources,()Landroid/content/res/Resources;
Landroid/content/res/Resources;,getResourcePackageName,(I)Ljava/lang/String;
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/content/res/Resources;,getString,(I)Ljava/lang/String;
Landroid/content/res/Resources;,getIdentifier,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)I
Landroid/app/Application;,registerActivityLifecycleCallbacks,(Landroid/app/Application$ActivityLifecycleCallbacks;)V
Landroid/net/ConnectivityManager;,getNetworkInfo,(I)Landroid/net/NetworkInfo;
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/net/NetworkInfo;,isConnected,()Z
Landroid/content/BroadcastReceiver;,<init>,()V
Landroid/widget/Button;,setTextColor,(I)V
Landroid/content/res/Resources$Theme;,resolveAttribute,(I Landroid/util/TypedValue; Z)Z
Landroid/util/TypedValue;,<init>,()V
Landroid/content/Context;,getTheme,()Landroid/content/res/Resources$Theme;
Landroid/view/ContextThemeWrapper;,<init>,(Landroid/content/Context; I)V
Landroid/app/Dialog;,setOnKeyListener,(Landroid/content/DialogInterface$OnKeyListener;)V
Landroid/app/Dialog;,<init>,(Landroid/content/Context; I)V
Landroid/app/Dialog;,getContext,()Landroid/content/Context;
Landroid/app/Dialog;,getWindow,()Landroid/view/Window;
Landroid/content/res/TypedArray;,recycle,()V
Landroid/content/res/TypedArray;,getResourceId,(I I)I
Landroid/content/res/TypedArray;,hasValue,(I)Z
Landroid/graphics/drawable/Drawable;,setState,([I)Z
Landroid/graphics/drawable/Drawable;,getState,()[I
Landroid/util/Xml;,asAttributeSet,(Lorg/xmlpull/v1/XmlPullParser;)Landroid/util/AttributeSet;
Landroid/content/res/Resources;,getValue,(I Landroid/util/TypedValue; Z)V
Landroid/content/res/Resources;,getXml,(I)Landroid/content/res/XmlResourceParser;
Landroid/util/Log;,e,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/Throwable;)I
Landroid/graphics/drawable/Drawable$ConstantState;,newDrawable,(Landroid/content/res/Resources;)Landroid/graphics/drawable/Drawable;
Landroid/graphics/drawable/Drawable;,setChangingConfigurations,(I)V
Landroid/graphics/drawable/Drawable;,getConstantState,()Landroid/graphics/drawable/Drawable$ConstantState;
Landroid/graphics/drawable/Drawable;,mutate,()Landroid/graphics/drawable/Drawable;
Landroid/util/Log;,w,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/Throwable;)I
Landroid/graphics/drawable/Drawable;,<init>,()V
Landroid/graphics/drawable/Drawable;,invalidateSelf,()V
Landroid/graphics/drawable/Drawable;,getLevel,()I
Landroid/graphics/drawable/Drawable;,isVisible,()Z
Landroid/graphics/drawable/Drawable;,getBounds,()Landroid/graphics/Rect;
Landroid/content/res/ColorStateList;,getDefaultColor,()I
Landroid/content/res/ColorStateList;,getColorForState,([I I)I
Landroid/graphics/drawable/Drawable;,clearColorFilter,()V
Landroid/graphics/drawable/Drawable;,setColorFilter,(I Landroid/graphics/PorterDuff$Mode;)V
Landroid/graphics/drawable/Drawable;,setCallback,(Landroid/graphics/drawable/Drawable$Callback;)V
Landroid/graphics/drawable/Drawable;,setVisible,(Z Z)Z
Landroid/graphics/drawable/Drawable;,setBounds,(Landroid/graphics/Rect;)V
Landroid/graphics/drawable/Drawable;,setLevel,(I)Z
Landroid/graphics/drawable/Drawable$ConstantState;,<init>,()V
Landroid/graphics/drawable/Drawable;,setTintList,(Landroid/content/res/ColorStateList;)V
Landroid/graphics/drawable/DrawableContainer$DrawableContainerState;,getChildren,()[Landroid/graphics/drawable/Drawable;
Landroid/graphics/drawable/ScaleDrawable;,getDrawable,()Landroid/graphics/drawable/Drawable;
Landroid/graphics/drawable/Drawable;,setTintMode,(Landroid/graphics/PorterDuff$Mode;)V
Landroid/content/res/Resources;,getDrawable,(I)Landroid/graphics/drawable/Drawable;
Landroid/content/Context;,getDrawable,(I)Landroid/graphics/drawable/Drawable;
Landroid/content/Context;,obtainStyledAttributes,(Landroid/util/AttributeSet; [I)Landroid/content/res/TypedArray;
Landroid/view/Window;,setCallback,(Landroid/view/Window$Callback;)V
Landroid/view/Window;,getCallback,()Landroid/view/Window$Callback;
Landroid/view/Window;,setBackgroundDrawable,(Landroid/graphics/drawable/Drawable;)V
Landroid/content/ContextWrapper;,getBaseContext,()Landroid/content/Context;
Landroid/os/Handler;,<init>,()V
Landroid/content/res/TypedArray;,getDimensionPixelSize,(I I)I
Landroid/content/res/TypedArray;,getBoolean,(I Z)Z
Landroid/content/Context;,obtainStyledAttributes,(Landroid/util/AttributeSet; [I I I)Landroid/content/res/TypedArray;
Landroid/app/Dialog;,setOnCancelListener,(Landroid/content/DialogInterface$OnCancelListener;)V
Landroid/widget/ImageView;,setVisibility,(I)V
Landroid/widget/ImageView;,setImageResource,(I)V
Landroid/os/Handler;,obtainMessage,(I Ljava/lang/Object;)Landroid/os/Message;
Landroid/widget/TextView;,setText,(Ljava/lang/CharSequence;)V
Landroid/widget/ArrayAdapter;,<init>,(Landroid/content/Context; I I [Ljava/lang/Object;)V
Landroid/widget/ListView;,setOnItemClickListener,(Landroid/widget/AdapterView$OnItemClickListener;)V
Landroid/widget/ListView;,setOnItemSelectedListener,(Landroid/widget/AdapterView$OnItemSelectedListener;)V
Landroid/widget/ListView;,setChoiceMode,(I)V
Landroid/widget/SimpleCursorAdapter;,<init>,(Landroid/content/Context; I Landroid/database/Cursor; [Ljava/lang/String; [I)V
Landroid/view/LayoutInflater;,inflate,(I Landroid/view/ViewGroup;)Landroid/view/View;
Landroid/widget/CursorAdapter;,getCursor,()Landroid/database/Cursor;
Landroid/widget/CursorAdapter;,<init>,(Landroid/content/Context; Landroid/database/Cursor; Z)V
Landroid/database/Cursor;,getColumnIndexOrThrow,(Ljava/lang/String;)I
Landroid/widget/ImageView;,setImageDrawable,(Landroid/graphics/drawable/Drawable;)V
Landroid/app/Dialog;,setCanceledOnTouchOutside,(Z)V
Landroid/app/Dialog;,setOnDismissListener,(Landroid/content/DialogInterface$OnDismissListener;)V
Landroid/app/Dialog;,setCancelable,(Z)V
Landroid/app/Dialog;,show,()V
Landroid/widget/Toast;,setGravity,(I I I)V
Landroid/util/DisplayMetrics;,<init>,()V
Landroid/view/WindowManager;,getDefaultDisplay,()Landroid/view/Display;
Landroid/view/Display;,getMetrics,(Landroid/util/DisplayMetrics;)V
Landroid/widget/SeekBar;,setSecondaryProgress,(I)V
Landroid/widget/SeekBar;,setProgress,(I)V
Landroid/util/Log;,i,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/util/Log;,d,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/media/AudioManager;,requestAudioFocus,(Landroid/media/AudioManager$OnAudioFocusChangeListener; I I)I
Landroid/widget/FrameLayout;,getContext,()Landroid/content/Context;
Landroid/media/AudioManager;,abandonAudioFocus,(Landroid/media/AudioManager$OnAudioFocusChangeListener;)I
Landroid/content/SharedPreferences$Editor;,apply,()V
Landroid/content/SharedPreferences;,edit,()Landroid/content/SharedPreferences$Editor;
Landroid/content/Context;,getSharedPreferences,(Ljava/lang/String; I)Landroid/content/SharedPreferences;
Landroid/content/SharedPreferences$Editor;,putLong,(Ljava/lang/String; J)Landroid/content/SharedPreferences$Editor;
Landroid/view/ViewGroup;,removeAllViews,()V
Landroid/view/TextureView;,setSurfaceTextureListener,(Landroid/view/TextureView$SurfaceTextureListener;)V
Landroid/view/ViewGroup;,removeView,(Landroid/view/View;)V
Landroid/widget/FrameLayout$LayoutParams;,<init>,(I I I)V
Landroid/view/ViewGroup;,addView,(Landroid/view/View; Landroid/view/ViewGroup$LayoutParams;)V
Landroid/view/TextureView;,<init>,(Landroid/content/Context;)V
Landroid/database/sqlite/SQLiteOpenHelper;,<init>,(Landroid/content/Context; Ljava/lang/String; Landroid/database/sqlite/SQLiteDatabase$CursorFactory; I)V
Landroid/os/Environment;,getExternalStorageState,()Ljava/lang/String;
Landroid/content/Context;,getCacheDir,()Ljava/io/File;
Landroid/os/Environment;,getExternalStorageDirectory,()Ljava/io/File;
Landroid/net/Uri;,fromFile,(Ljava/io/File;)Landroid/net/Uri;
Landroid/net/Uri;,toString,()Ljava/lang/String;
Landroid/app/Activity;,getApplicationContext,()Landroid/content/Context;
Landroid/widget/TextView;,setTypeface,(Landroid/graphics/Typeface;)V
Landroid/view/View;,findViewById,(I)Landroid/view/View;
Landroid/view/LayoutInflater;,from,(Landroid/content/Context;)Landroid/view/LayoutInflater;
Landroid/widget/TextView;,setOnClickListener,(Landroid/view/View$OnClickListener;)V
Landroid/widget/Toast;,makeText,(Landroid/content/Context; Ljava/lang/CharSequence; I)Landroid/widget/Toast;
Landroid/app/Activity;,getResources,()Landroid/content/res/Resources;
Landroid/content/res/Resources;,getDisplayMetrics,()Landroid/util/DisplayMetrics;
Landroid/content/res/Resources;,getConfiguration,()Landroid/content/res/Configuration;
Landroid/content/res/Resources;,<init>,(Landroid/content/res/AssetManager; Landroid/util/DisplayMetrics; Landroid/content/res/Configuration;)V
Landroid/content/res/Resources;,getAssets,()Landroid/content/res/AssetManager;
Landroid/content/IntentFilter;,addAction,(Ljava/lang/String;)V
Landroid/net/NetworkInfo;,getType,()I
