Landroid/os/HandlerThread;,<init>,(Ljava/lang/String;)V
Landroid/content/IntentFilter;,<init>,()V
Landroid/os/HandlerThread;,start,()V
Landroid/os/HandlerThread;,getLooper,()Landroid/os/Looper;
Landroid/content/BroadcastReceiver;,<init>,()V
Landroid/content/IntentFilter;,hasAction,(Ljava/lang/String;)Z
Landroid/content/IntentFilter;,dump,(Landroid/util/Printer; Ljava/lang/String;)V
Landroid/util/StringBuilderPrinter;,<init>,(Ljava/lang/StringBuilder;)V
Landroid/os/Handler;,obtainMessage,()Landroid/os/Message;
Landroid/os/Handler;,<init>,(Landroid/os/Looper;)V
Landroid/os/Handler;,sendMessageDelayed,(Landroid/os/Message; J)Z
Landroid/content/IntentFilter;,addAction,(Ljava/lang/String;)V
Landroid/util/Log;,w,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/Throwable;)I
Landroid/util/Log;,isLoggable,(Ljava/lang/String; I)Z
Landroid/os/StrictMode;,allowThreadDiskReads,()Landroid/os/StrictMode$ThreadPolicy;
Landroid/os/StrictMode;,setThreadPolicy,(Landroid/os/StrictMode$ThreadPolicy;)V
Landroid/os/Process;,myPid,()I
Landroid/content/Context;,getResources,()Landroid/content/res/Resources;
Landroid/content/Context;,getColor,(I)I
Landroid/content/res/Resources;,getColor,(I)I
Landroid/util/Log;,e,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/Throwable;)I
Landroid/os/Looper;,getMainLooper,()Landroid/os/Looper;
Landroid/os/Handler;,post,(Ljava/lang/Runnable;)Z
Landroid/os/Looper;,getThread,()Ljava/lang/Thread;
Landroid/os/PowerManager$WakeLock;,isHeld,()Z
Landroid/os/PowerManager$WakeLock;,release,()V
Landroid/os/Handler;,removeCallbacks,(Ljava/lang/Runnable;)V
Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,build,()Landroid/telecom/CallScreeningService$CallResponse;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,<init>,()V
Landroid/telecom/Call$Details;,getHandle,()Landroid/net/Uri;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setSkipNotification,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telephony/PhoneStateListener;,<init>,()V
Landroid/util/Pair;,<init>,(Ljava/lang/Object; Ljava/lang/Object;)V
Landroid/net/Uri$Builder;,appendPath,(Ljava/lang/String;)Landroid/net/Uri$Builder;
Landroid/net/Uri;,buildUpon,()Landroid/net/Uri$Builder;
Landroid/database/Cursor;,moveToNext,()Z
Landroid/database/Cursor;,close,()V
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setRejectCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telecom/Call;,getState,()I
Landroid/telecom/Call;,disconnect,()V
Landroid/telecom/Call$Details;,getGatewayInfo,()Landroid/telecom/GatewayInfo;
Landroid/telecom/GatewayInfo;,getOriginalAddress,()Landroid/net/Uri;
Landroid/telecom/Call;,getDetails,()Landroid/telecom/Call$Details;
Landroid/net/Uri;,getSchemeSpecificPart,()Ljava/lang/String;
Landroid/telecom/Call;,getChildren,()Ljava/util/List;
Landroid/telecom/Call;,reject,(Z Ljava/lang/String;)V
Landroid/media/AudioManager;,getStreamVolume,(I)I
Landroid/media/AudioManager;,setStreamVolume,(I I I)V
Landroid/media/AudioManager;,getRingerMode,()I
Landroid/media/AudioManager;,setRingerMode,(I)V
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setDisallowCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telecom/Call$Callback;,onStateChanged,(Landroid/telecom/Call; I)V
Landroid/telecom/Call$Details;,getVideoState,()I
Landroid/telecom/Call;,registerCallback,(Landroid/telecom/Call$Callback;)V
Landroid/telecom/Call$Callback;,<init>,()V
Landroid/telecom/TelecomManager;,getDefaultDialerPackage,()Ljava/lang/String;
Landroid/content/BroadcastReceiver;,onReceive,(Landroid/content/Context; Landroid/content/Intent;)V
Landroid/telecom/Call$Details;,hasProperty,(I)Z
Landroid/view/WindowManager;,getDefaultDisplay,()Landroid/view/Display;
Landroid/view/Display;,getState,()I
Landroid/os/PowerManager;,isInteractive,()Z
Landroid/content/Intent;,getStringExtra,(Ljava/lang/String;)Ljava/lang/String;
Landroid/os/Bundle;,<init>,()V
Landroid/os/Bundle;,getString,(Ljava/lang/String;)Ljava/lang/String;
Landroid/content/Intent;,getExtras,()Landroid/os/Bundle;
Landroid/content/Intent$ShortcutIconResource;,fromContext,(Landroid/content/Context; I)Landroid/content/Intent$ShortcutIconResource;
Landroid/content/Intent;,<init>,()V
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Z)Landroid/content/Intent;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Landroid/os/Parcelable;)Landroid/content/Intent;
Landroid/content/Intent;,addFlags,(I)Landroid/content/Intent;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Ljava/lang/String;)Landroid/content/Intent;
Landroid/content/Context;,sendOrderedBroadcast,(Landroid/content/Intent; Ljava/lang/String;)V
Landroid/content/Intent;,setAction,(Ljava/lang/String;)Landroid/content/Intent;
Landroid/content/Intent;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/content/Intent;,putExtra,(Ljava/lang/String; I)Landroid/content/Intent;
Landroid/content/res/Resources;,getConfiguration,()Landroid/content/res/Configuration;
Landroid/graphics/Bitmap;,getHeight,()I
Landroid/content/res/Resources;,getDimensionPixelSize,(I)I
Landroid/graphics/Bitmap;,getWidth,()I
Landroid/graphics/Bitmap;,createScaledBitmap,(Landroid/graphics/Bitmap; I I Z)Landroid/graphics/Bitmap;
Landroid/telephony/TelephonyManager;,getVoiceMailNumber,()Ljava/lang/String;
Landroid/content/Intent;,setFlags,(I)Landroid/content/Intent;
Landroid/app/PendingIntent;,getActivity,(Landroid/content/Context; I Landroid/content/Intent; I)Landroid/app/PendingIntent;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Ljava/io/Serializable;)Landroid/content/Intent;
Landroid/content/Intent;,putExtra,(Ljava/lang/String; J)Landroid/content/Intent;
Landroid/webkit/WebViewClient;,<init>,()V
Landroid/app/Notification;,<init>,()V
Landroid/os/Handler;,sendMessage,(Landroid/os/Message;)Z
Landroid/os/Handler;,obtainMessage,(I Ljava/lang/Object;)Landroid/os/Message;
Landroid/os/HandlerThread;,<init>,(Ljava/lang/String; I)V
Landroid/content/Context;,getPackageManager,()Landroid/content/pm/PackageManager;
Landroid/util/SparseIntArray;,<init>,()V
Landroid/os/Handler;,obtainMessage,(I)Landroid/os/Message;
Landroid/os/Handler;,<init>,(Landroid/os/Looper; Landroid/os/Handler$Callback;)V
Landroid/content/pm/PackageManager;,hasSystemFeature,(Ljava/lang/String;)Z
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/app/Notification;,getGroup,()Ljava/lang/String;
Landroid/app/Notification$Builder;,setExtras,(Landroid/os/Bundle;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,build,()Landroid/app/Notification;
Landroid/os/Bundle;,putSparseParcelableArray,(Ljava/lang/String; Landroid/util/SparseArray;)V
Landroid/util/Log;,e,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/app/Notification$Builder;,getNotification,()Landroid/app/Notification;
Landroid/os/Bundle;,<init>,(Landroid/os/Bundle;)V
Landroid/app/Notification$BubbleMetadata$Builder;,setAutoExpandBubble,(Z)Landroid/app/Notification$BubbleMetadata$Builder;
Landroid/app/Notification$BubbleMetadata$Builder;,setIntent,(Landroid/app/PendingIntent;)Landroid/app/Notification$BubbleMetadata$Builder;
Landroid/os/Bundle;,putBundle,(Ljava/lang/String; Landroid/os/Bundle;)V
Landroid/graphics/drawable/Icon;,createWithBitmap,(Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,setTintList,(Landroid/content/res/ColorStateList;)Landroid/graphics/drawable/Icon;
Landroid/graphics/Canvas;,drawCircle,(F F F Landroid/graphics/Paint;)V
Landroid/graphics/Paint;,<init>,(I)V
Landroid/graphics/Matrix;,<init>,()V
Landroid/graphics/Paint;,setColor,(I)V
Landroid/graphics/Canvas;,<init>,(Landroid/graphics/Bitmap;)V
Landroid/graphics/Matrix;,setTranslate,(F F)V
Landroid/graphics/BitmapShader;,<init>,(Landroid/graphics/Bitmap; Landroid/graphics/Shader$TileMode; Landroid/graphics/Shader$TileMode;)V
Landroid/graphics/Bitmap;,createBitmap,(I I Landroid/graphics/Bitmap$Config;)Landroid/graphics/Bitmap;
Landroid/graphics/Canvas;,setBitmap,(Landroid/graphics/Bitmap;)V
Landroid/graphics/Paint;,setShader,(Landroid/graphics/Shader;)Landroid/graphics/Shader;
Landroid/graphics/BitmapShader;,setLocalMatrix,(Landroid/graphics/Matrix;)V
Landroid/graphics/drawable/Icon;,setTintMode,(Landroid/graphics/PorterDuff$Mode;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithContentUri,(Ljava/lang/String;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithData,([B I I)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,getResPackage,()Ljava/lang/String;
Landroid/graphics/drawable/Icon;,createWithAdaptiveBitmap,(Landroid/graphics/Bitmap;)Landroid/graphics/drawable/Icon;
Landroid/graphics/drawable/Icon;,createWithResource,(Ljava/lang/String; I)Landroid/graphics/drawable/Icon;
Landroid/net/Uri;,parse,(Ljava/lang/String;)Landroid/net/Uri;
Landroid/graphics/drawable/Icon;,getUri,()Landroid/net/Uri;
Landroid/app/Notification$Builder;,setRemoteInputHistory,([Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setCategory,(Ljava/lang/String;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setBubbleMetadata,(Landroid/app/Notification$BubbleMetadata;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setTimeoutAfter,(J)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setAutoCancel,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setVibrate,([J)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setDefaults,(I)Landroid/app/Notification$Builder;
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/app/Notification$BubbleMetadata$Builder;,setDesiredHeightResId,(I)Landroid/app/Notification$BubbleMetadata$Builder;
Landroid/app/Notification$Builder;,setContentTitle,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setDeleteIntent,(Landroid/app/PendingIntent;)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setUsesChronometer,(Z)Landroid/app/Notification$Builder;
Landroid/app/Notification$Builder;,setSubText,(Ljava/lang/CharSequence;)Landroid/app/Notification$Builder;
Landroid/app/Notification$BubbleMetadata$Builder;,build,()Landroid/app/Notification$BubbleMetadata;
