Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/content/Intent;,setClass,(Landroid/content/Context; Ljava/lang/Class;)Landroid/content/Intent;
Landroid/app/Application;,getApplicationContext,()Landroid/content/Context;
Landroid/content/Context;,startService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/content/Context;,startForegroundService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/app/Application;,getSharedPreferences,(Ljava/lang/String; I)Landroid/content/SharedPreferences;
Landroid/content/SharedPreferences;,getString,(Ljava/lang/String; Ljava/lang/String;)Ljava/lang/String;
Landroid/content/SharedPreferences;,getBoolean,(Ljava/lang/String; Z)Z
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/telecom/TelecomManager;,getDefaultDialerPackage,()Ljava/lang/String;
Landroid/content/SharedPreferences;,getInt,(Ljava/lang/String; I)I
Landroid/telecom/Call$Details;,getCallerDisplayName,()Ljava/lang/String;
Landroid/database/sqlite/SQLiteDatabase;,insert,(Ljava/lang/String; Ljava/lang/String; Landroid/content/ContentValues;)J
Landroid/database/sqlite/SQLiteOpenHelper;,getWritableDatabase,()Landroid/database/sqlite/SQLiteDatabase;
Landroid/util/Log;,getStackTraceString,(Ljava/lang/Throwable;)Ljava/lang/String;
Landroid/app/Application;,getFilesDir,()Ljava/io/File;
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/util/Log;,println,(I Ljava/lang/String; Ljava/lang/String;)I
Landroid/database/sqlite/SQLiteDatabase;,update,(Ljava/lang/String; Landroid/content/ContentValues; Ljava/lang/String; [Ljava/lang/String;)I
Landroid/app/Application;,openFileInput,(Ljava/lang/String;)Ljava/io/FileInputStream;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setDisallowCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,build,()Landroid/telecom/CallScreeningService$CallResponse;
Landroid/telecom/CallScreeningService$CallResponse$Builder;,setRejectCall,(Z)Landroid/telecom/CallScreeningService$CallResponse$Builder;
Landroid/database/Cursor;,getColumnIndex,(Ljava/lang/String;)I
Landroid/database/Cursor;,getString,(I)Ljava/lang/String;
Landroid/database/Cursor;,getLong,(I)J
Landroid/content/res/Resources;,getConfiguration,()Landroid/content/res/Configuration;
Landroid/content/res/Resources;,getSystem,()Landroid/content/res/Resources;
Landroid/database/Cursor;,getInt,(I)I
Landroid/app/Application;,getPackageName,()Ljava/lang/String;
Landroid/app/Application;,getPackageManager,()Landroid/content/pm/PackageManager;
Landroid/content/pm/PackageManager;,getPackageInfo,(Ljava/lang/String; I)Landroid/content/pm/PackageInfo;
Landroid/database/sqlite/SQLiteDatabase;,query,(Z Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;
