Landroid/content/Intent;,getAction,()Ljava/lang/String;
Landroid/content/Context;,isDeviceProtectedStorage,()Z
Landroid/content/Context;,getApplicationContext,()Landroid/content/Context;
Landroid/net/ConnectivityManager$NetworkCallback;,<init>,()V
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/content/BroadcastReceiver;,<init>,()V
Landroid/content/Context;,getResources,()Landroid/content/res/Resources;
Landroid/content/res/Resources;,getBoolean,(I)Z
Landroid/app/ActivityManager;,isLowRamDevice,()Z
Landroid/support/v4/media/session/MediaSessionCompat;,R,(Landroid/content/Context; Ljava/lang/Class; Ljava/lang/String;)Ln3/c0/q$a;
Landroid/content/ComponentName;,<init>,(Landroid/content/Context; Ljava/lang/String;)V
Landroid/content/pm/PackageManager;,setComponentEnabledSetting,(Landroid/content/ComponentName; I I)V
Landroid/content/Context;,getPackageManager,()Landroid/content/pm/PackageManager;
Landroid/content/ComponentName;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/os/Handler;,<init>,(Landroid/os/Looper;)V
Landroid/os/Looper;,getMainLooper,()Landroid/os/Looper;
Landroid/content/ContextWrapper;,getBaseContext,()Landroid/content/Context;
Landroid/app/NotificationManager;,cancel,(Ljava/lang/String; I)V
Landroid/content/Context;,sendBroadcast,(Landroid/content/Intent;)V
Landroid/content/Intent;,<init>,(Ljava/lang/String;)V
Landroid/os/Debug;,isDebuggerConnected,()Z
Landroid/os/Process;,myPid,()I
Landroid/os/StrictMode;,allowThreadDiskReads,()Landroid/os/StrictMode$ThreadPolicy;
Landroid/os/StrictMode;,setThreadPolicy,(Landroid/os/StrictMode$ThreadPolicy;)V
Landroid/os/Handler;,post,(Ljava/lang/Runnable;)Z
Landroid/content/Intent;,getStringExtra,(Ljava/lang/String;)Ljava/lang/String;
Landroid/content/BroadcastReceiver;,getResultCode,()I
Landroid/app/Activity;,finish,()V
Landroid/app/Activity;,overridePendingTransition,(I I)V
Landroid/content/Intent;,getLongExtra,(Ljava/lang/String; J)J
Landroid/content/Intent;,<init>,(Ljava/lang/String; Landroid/net/Uri;)V
Landroid/net/Uri;,fromParts,(Ljava/lang/String; Ljava/lang/String; Ljava/lang/String;)Landroid/net/Uri;
Landroid/content/Context;,startActivity,(Landroid/content/Intent;)V
Landroid/content/Intent;,setFlags,(I)Landroid/content/Intent;
Landroid/app/NotificationManager;,cancel,(I)V
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/content/Intent;,getParcelableExtra,(Ljava/lang/String;)Landroid/os/Parcelable;
Landroid/content/Intent;,hasExtra,(Ljava/lang/String;)Z
Landroid/app/AlarmManager;,set,(I J Landroid/app/PendingIntent;)V
Landroid/content/SharedPreferences$Editor;,putBoolean,(Ljava/lang/String; Z)Landroid/content/SharedPreferences$Editor;
Landroid/content/SharedPreferences$Editor;,apply,()V
Landroid/content/SharedPreferences$Editor;,putLong,(Ljava/lang/String; J)Landroid/content/SharedPreferences$Editor;
Landroid/os/Bundle;,putString,(Ljava/lang/String; Ljava/lang/String;)V
Landroid/os/Bundle;,<init>,()V
Landroid/content/Intent;,<init>,(Landroid/content/Context; Ljava/lang/Class;)V
Landroid/content/SharedPreferences;,getLong,(Ljava/lang/String; J)J
Landroid/content/Intent;,putExtra,(Ljava/lang/String; Ljava/lang/String;)Landroid/content/Intent;
Landroid/content/SharedPreferences;,getBoolean,(Ljava/lang/String; Z)Z
Landroid/app/PendingIntent;,getBroadcast,(Landroid/content/Context; I Landroid/content/Intent; I)Landroid/app/PendingIntent;
Landroid/content/Context;,startService,(Landroid/content/Intent;)Landroid/content/ComponentName;
Landroid/content/pm/PackageManager;,getPackageInfo,(Ljava/lang/String; I)Landroid/content/pm/PackageInfo;
Landroid/content/Context;,getPackageName,()Ljava/lang/String;
Landroid/app/AlarmManager;,cancel,(Landroid/app/PendingIntent;)V
Landroid/content/Intent;,getIntExtra,(Ljava/lang/String; I)I
Landroid/content/SharedPreferences$Editor;,commit,()Z
Landroid/content/SharedPreferences$OnSharedPreferenceChangeListener;,onSharedPreferenceChanged,(Landroid/content/SharedPreferences; Ljava/lang/String;)V
Landroid/content/SharedPreferences;,getAll,()Ljava/util/Map;
