Landroid/telephony/PhoneStateListener;,<init>,()V
Landroid/telephony/TelephonyManager;,listen,(Landroid/telephony/PhoneStateListener; I)V
Landroid/content/Context;,getSystemService,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/util/Log;,d,(Ljava/lang/String; Ljava/lang/String;)I
Landroid/telephony/SubscriptionInfo;,getSubscriptionId,()I
Landroid/telephony/SubscriptionManager;,getActiveSubscriptionInfoList,()Ljava/util/List;
Landroid/telephony/TelephonyManager;,createForSubscriptionId,(I)Landroid/telephony/TelephonyManager;
Landroid/text/TextUtils;,isEmpty,(Ljava/lang/CharSequence;)Z
Landroid/database/sqlite/SQLiteOpenHelper;,<init>,(Landroid/content/Context; Ljava/lang/String; Landroid/database/sqlite/SQLiteDatabase$CursorFactory; I)V
Landroid/content/Context;,getSharedPreferences,(Ljava/lang/String; I)Landroid/content/SharedPreferences;
Landroid/content/Context;,getString,(I)Ljava/lang/String;
Landroid/media/AudioManager;,adjustStreamVolume,(I I I)V
Landroid/media/AudioManager;,setStreamMute,(I Z)V
Landroid/telecom/TelecomManager;,endCall,()Z
Landroid/os/Bundle;,<init>,()V
Landroid/os/Bundle;,putBundle,(Ljava/lang/String; Landroid/os/Bundle;)V
Landroid/os/Bundle;,keySet,()Ljava/util/Set;
Landroid/os/Bundle;,<init>,(Landroid/os/Bundle;)V
Landroid/os/Bundle;,get,(Ljava/lang/String;)Ljava/lang/Object;
Landroid/util/Log;,println,(I Ljava/lang/String; Ljava/lang/String;)I
Landroid/util/Log;,isLoggable,(Ljava/lang/String; I)Z
Landroid/content/SharedPreferences;,getBoolean,(Ljava/lang/String; Z)Z
Landroid/database/Cursor;,moveToNext,()Z
Landroid/content/ContentResolver;,query,(Landroid/net/Uri; [Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Ljava/lang/String;)Landroid/database/Cursor;
Landroid/database/Cursor;,close,()V
Landroid/database/Cursor;,getColumnIndex,(Ljava/lang/String;)I
Landroid/database/Cursor;,getString,(I)Ljava/lang/String;
Landroid/database/Cursor;,moveToFirst,()Z
Landroid/content/Context;,getContentResolver,()Landroid/content/ContentResolver;
Landroid/database/Cursor;,isAfterLast,()Z
Landroid/database/Cursor;,getShort,(I)S
Landroid/database/Cursor;,getLong,(I)J
